Date,mean_NDTI
2022-03-05,-0.053
2022-03-06,-0.0406
2022-03-07,-0.0282
2022-03-08,-0.0158
2022-03-09,-0.0034
2022-03-10,0.009
2022-03-11,0.0342
2022-03-12,0.0594
2022-03-13,0.0846
2022-03-14,0.1098
2022-03-15,0.135
2022-03-16,0.11
2022-03-17,0.085
2022-03-18,0.06
2022-03-19,0.035
2022-03-20,0.01
2022-03-21,0.0038
2022-03-22,-0.0024
2022-03-23,-0.0086
2022-03-24,-0.0148
2022-03-25,-0.021
2022-03-26,-0.0204
2022-03-27,-0.0198
2022-03-28,-0.0192
2022-03-29,-0.0186
2022-03-30,-0.018
2022-03-31,-0.0114
2022-04-01,-0.0048
2022-04-02,0.0018
2022-04-03,0.0084
2022-04-04,0.015
2022-04-05,0.0026
2022-04-06,-0.0098
2022-04-07,-0.0222
2022-04-08,-0.0346
2022-04-09,-0.047
2022-04-10,-0.0304
2022-04-11,-0.0138
2022-04-12,0.0028
2022-04-13,0.0194
2022-04-14,0.036
2022-04-15,0.0366
2022-04-16,0.0372
2022-04-17,0.0378
2022-04-18,0.0384
2022-04-19,0.039
2022-04-20,0.0344
2022-04-21,0.0298
2022-04-22,0.0252
2022-04-23,0.0206
2022-04-24,0.016
2022-04-25,0.0256
2022-04-26,0.0352
2022-04-27,0.0448
2022-04-28,0.0544
2022-04-29,0.064
2022-04-30,0.0696
2022-05-01,0.0752
2022-05-02,0.0808
2022-05-03,0.0864
2022-05-04,0.092
2022-05-05,0.1158
2022-05-06,0.1396
2022-05-07,0.1634
2022-05-08,0.1872
2022-05-09,0.211
2022-05-10,0.1636
2022-05-11,0.1162
2022-05-12,0.0688
2022-05-13,0.0214
2022-05-14,-0.026
2022-05-15,-0.0122
2022-05-16,0.0016
2022-05-17,0.0154
2022-05-18,0.0292
2022-05-19,0.043
2022-05-20,0.0408
2022-05-21,0.0386
2022-05-22,0.0364
2022-05-23,0.0342
2022-05-24,0.032
2022-05-25,0.0298
2022-05-26,0.0276
2022-05-27,0.0254
2022-05-28,0.0232
2022-05-29,0.021
2022-05-30,0.0062
2022-05-31,-0.0086
2022-06-01,-0.0234
2022-06-02,-0.0382
2022-06-03,-0.053
2022-06-04,-0.0396
2022-06-05,-0.0262
2022-06-06,-0.0128
2022-06-07,0.0006
2022-06-08,0.014
2022-06-09,0.015
2022-06-10,0.016
2022-06-11,0.017
2022-06-12,0.018
2022-06-13,0.019
2022-06-14,0.02
2022-06-15,0.021
2022-06-16,0.022
2022-06-17,0.023
2022-06-18,0.024
2022-06-19,0.025
2022-06-20,0.026
2022-06-21,0.027
2022-06-22,0.028
2022-06-23,0.029
2022-06-24,0.0216
2022-06-25,0.0142
2022-06-26,0.0068
2022-06-27,-0.0006
2022-06-28,-0.008
2022-06-29,-0.0154
2022-06-30,-0.0228
2022-07-01,-0.0302
2022-07-02,-0.0376
2022-07-03,-0.045
2022-07-04,-0.0524
2022-07-05,-0.0598
2022-07-06,-0.0672
2022-07-07,-0.0746
2022-07-08,-0.082
2022-07-09,-0.08058
2022-07-10,-0.07916
2022-07-11,-0.07774
2022-07-12,-0.07632
2022-07-13,-0.0749
2022-07-14,-0.07348
2022-07-15,-0.07206
2022-07-16,-0.07064
2022-07-17,-0.06922
2022-07-18,-0.0678
2022-07-19,-0.06638
2022-07-20,-0.06496
2022-07-21,-0.06354
2022-07-22,-0.06212
2022-07-23,-0.0607
2022-07-24,-0.05928
2022-07-25,-0.05786
2022-07-26,-0.05644
2022-07-27,-0.05502
2022-07-28,-0.0536
2022-07-29,-0.05218
2022-07-30,-0.05076
2022-07-31,-0.04934
2022-08-01,-0.04792
2022-08-02,-0.0465
2022-08-03,-0.04508
2022-08-04,-0.04366
2022-08-05,-0.04224
2022-08-06,-0.04082
2022-08-07,-0.0394
2022-08-08,-0.03798
2022-08-09,-0.03656
2022-08-10,-0.03514
2022-08-11,-0.03372
2022-08-12,-0.0323
2022-08-13,-0.03088
2022-08-14,-0.02946
2022-08-15,-0.02804
2022-08-16,-0.02662
2022-08-17,-0.0252
2022-08-18,-0.02378
2022-08-19,-0.02236
2022-08-20,-0.02094
2022-08-21,-0.01952
2022-08-22,-0.0181
2022-08-23,-0.01668
2022-08-24,-0.01526
2022-08-25,-0.01384
2022-08-26,-0.01242
2022-08-27,-0.011
2022-08-28,-0.0237
2022-08-29,-0.0364
2022-08-30,-0.0491
2022-08-31,-0.0618
2022-09-01,-0.0745
2022-09-02,-0.0872
2022-09-03,-0.0999
2022-09-04,-0.1126
2022-09-05,-0.1253
2022-09-06,-0.138
2022-09-07,-0.13124
2022-09-08,-0.12448
2022-09-09,-0.11772
2022-09-10,-0.11096
2022-09-11,-0.1042
2022-09-12,-0.09744
2022-09-13,-0.09068
2022-09-14,-0.08392
2022-09-15,-0.07716
2022-09-16,-0.0704
2022-09-17,-0.06364
2022-09-18,-0.05688
2022-09-19,-0.05012
2022-09-20,-0.04336
2022-09-21,-0.0366
2022-09-22,-0.02984
2022-09-23,-0.02308
2022-09-24,-0.01632
2022-09-25,-0.00956
2022-09-26,-0.0028
2022-09-27,0.00396
2022-09-28,0.01072
2022-09-29,0.01748
2022-09-30,0.02424
2022-10-01,0.031
2022-10-02,0.02747
2022-10-03,0.02393
2022-10-04,0.0204
2022-10-05,0.01687
2022-10-06,0.01333
2022-10-07,0.0098
2022-10-08,0.00627
2022-10-09,0.00273
2022-10-10,-0.0008
2022-10-11,-0.00433
2022-10-12,-0.00787
2022-10-13,-0.0114
2022-10-14,-0.01493
2022-10-15,-0.01847
2022-10-16,-0.022
2022-10-17,-0.0174
2022-10-18,-0.0128
2022-10-19,-0.0082
2022-10-20,-0.0036
2022-10-21,0.001
2022-10-22,-0.0042
2022-10-23,-0.0094
2022-10-24,-0.0146
2022-10-25,-0.0198
2022-10-26,-0.025
2022-10-27,-0.025
2022-10-28,-0.025
2022-10-29,-0.025
2022-10-30,-0.025
2022-10-31,-0.025
2022-11-01,-0.0202
2022-11-02,-0.0154
2022-11-03,-0.0106
2022-11-04,-0.0058
2022-11-05,-0.001
2022-11-06,-0.0086
2022-11-07,-0.0162
2022-11-08,-0.0238
2022-11-09,-0.0314
2022-11-10,-0.039
2022-11-11,-0.0376
2022-11-12,-0.0362
2022-11-13,-0.0348
2022-11-14,-0.0334
2022-11-15,-0.032
2022-11-16,-0.0222
2022-11-17,-0.0124
2022-11-18,-0.0026
2022-11-19,0.0072
2022-11-20,0.017
2022-11-21,-0.0044
2022-11-22,-0.0258
2022-11-23,-0.0472
2022-11-24,-0.0686
2022-11-25,-0.09
2022-11-26,-0.0776
2022-11-27,-0.0652
2022-11-28,-0.0528
2022-11-29,-0.0404
2022-11-30,-0.028
2022-12-01,-0.0246
2022-12-02,-0.0212
2022-12-03,-0.0178
2022-12-04,-0.0144
2022-12-05,-0.011
2022-12-06,-0.0106
2022-12-07,-0.0102
2022-12-08,-0.0098
2022-12-09,-0.0094
2022-12-10,-0.009
2022-12-11,-0.0206
2022-12-12,-0.0322
2022-12-13,-0.0438
2022-12-14,-0.0554
2022-12-15,-0.067
2022-12-16,-0.06263
2022-12-17,-0.05826
2022-12-18,-0.05389
2022-12-19,-0.04951
2022-12-20,-0.04514
2022-12-21,-0.04077
2022-12-22,-0.0364
2022-12-23,-0.03203
2022-12-24,-0.02766
2022-12-25,-0.02329
2022-12-26,-0.01891
2022-12-27,-0.01454
2022-12-28,-0.01017
2022-12-29,-0.0058
2022-12-30,-0.00143
2022-12-31,0.00294
2023-01-01,0.00731
2023-01-02,0.01169
2023-01-03,0.01606
2023-01-04,0.02043
2023-01-05,0.0248
2023-01-06,0.02917
2023-01-07,0.03354
2023-01-08,0.03791
2023-01-09,0.04229
2023-01-10,0.04666
2023-01-11,0.05103
2023-01-12,0.0554
2023-01-13,0.05977
2023-01-14,0.06414
2023-01-15,0.06851
2023-01-16,0.07289
2023-01-17,0.07726
2023-01-18,0.08163
2023-01-19,0.086
2023-01-20,0.07613
2023-01-21,0.06627
2023-01-22,0.0564
2023-01-23,0.04653
2023-01-24,0.03667
2023-01-25,0.0268
2023-01-26,0.01693
2023-01-27,0.00707
2023-01-28,-0.0028
2023-01-29,-0.01267
2023-01-30,-0.02253
2023-01-31,-0.0324
2023-02-01,-0.04227
2023-02-02,-0.05213
2023-02-03,-0.062
2023-02-04,-0.0624
2023-02-05,-0.0628
2023-02-06,-0.0632
2023-02-07,-0.0636
2023-02-08,-0.064
2023-02-09,-0.0634
2023-02-10,-0.0628
2023-02-11,-0.0622
2023-02-12,-0.0616
2023-02-13,-0.061
2023-02-14,-0.0586
2023-02-15,-0.0562
2023-02-16,-0.0538
2023-02-17,-0.0514
2023-02-18,-0.049
2023-02-19,-0.0518
2023-02-20,-0.0546
2023-02-21,-0.0574
2023-02-22,-0.0602
2023-02-23,-0.063
2023-02-24,-0.0605
2023-02-25,-0.058
2023-02-26,-0.0555
2023-02-27,-0.053
2023-02-28,-0.0505
2023-03-01,-0.048
2023-03-02,-0.0455
2023-03-03,-0.043
2023-03-04,-0.0405
2023-03-05,-0.038
2023-03-06,-0.0428
2023-03-07,-0.0476
2023-03-08,-0.0524
2023-03-09,-0.0572
2023-03-10,-0.062
2023-03-11,-0.0586
2023-03-12,-0.0552
2023-03-13,-0.0518
2023-03-14,-0.0484
2023-03-15,-0.045
2023-03-16,-0.0334
2023-03-17,-0.0218
2023-03-18,-0.0102
2023-03-19,0.0014
2023-03-20,0.013
2023-03-21,0.0246
2023-03-22,0.0362
2023-03-23,0.0478
2023-03-24,0.0594
2023-03-25,0.071
2023-03-26,0.0494
2023-03-27,0.0278
2023-03-28,0.0062
2023-03-29,-0.0154
2023-03-30,-0.037
2023-03-31,-0.048
2023-04-01,-0.059
2023-04-02,-0.07
2023-04-03,-0.081
2023-04-04,-0.092
2023-04-05,-0.0932
2023-04-06,-0.0944
2023-04-07,-0.0956
2023-04-08,-0.0968
2023-04-09,-0.098
2023-04-10,-0.0928
2023-04-11,-0.0876
2023-04-12,-0.0824
2023-04-13,-0.0772
2023-04-14,-0.072
2023-04-15,-0.0602
2023-04-16,-0.0484
2023-04-17,-0.0366
2023-04-18,-0.0248
2023-04-19,-0.013
2023-04-20,-0.02073
2023-04-21,-0.02847
2023-04-22,-0.0362
2023-04-23,-0.04393
2023-04-24,-0.05167
2023-04-25,-0.0594
2023-04-26,-0.06713
2023-04-27,-0.07487
2023-04-28,-0.0826
2023-04-29,-0.09033
2023-04-30,-0.09807
2023-05-01,-0.1058
2023-05-02,-0.11353
2023-05-03,-0.12127
2023-05-04,-0.129
2023-05-05,-0.1194
2023-05-06,-0.1098
2023-05-07,-0.1002
2023-05-08,-0.0906
2023-05-09,-0.081
2023-05-10,-0.0676
2023-05-11,-0.0542
2023-05-12,-0.0408
2023-05-13,-0.0274
2023-05-14,-0.014
2023-05-15,-0.0218
2023-05-16,-0.0296
2023-05-17,-0.0374
2023-05-18,-0.0452
2023-05-19,-0.053
2023-05-20,-0.0557
2023-05-21,-0.0584
2023-05-22,-0.0611
2023-05-23,-0.0638
2023-05-24,-0.0665
2023-05-25,-0.0692
2023-05-26,-0.0719
2023-05-27,-0.0746
2023-05-28,-0.0773
2023-05-29,-0.08
2023-05-30,-0.085
2023-05-31,-0.09
2023-06-01,-0.095
2023-06-02,-0.1
2023-06-03,-0.105
2023-06-04,-0.1042
2023-06-05,-0.1034
2023-06-06,-0.1026
2023-06-07,-0.1018
2023-06-08,-0.101
2023-06-09,-0.0834
2023-06-10,-0.0658
2023-06-11,-0.0482
2023-06-12,-0.0306
2023-06-13,-0.013
2023-06-14,-0.01207
2023-06-15,-0.01113
2023-06-16,-0.0102
2023-06-17,-0.00927
2023-06-18,-0.00833
2023-06-19,-0.0074
2023-06-20,-0.00647
2023-06-21,-0.00553
2023-06-22,-0.0046
2023-06-23,-0.00367
2023-06-24,-0.00273
2023-06-25,-0.0018
2023-06-26,-0.00087
2023-06-27,7e-05
2023-06-28,0.001
2023-06-29,0.00193
2023-06-30,0.00287
2023-07-01,0.0038
2023-07-02,0.00473
2023-07-03,0.00567
2023-07-04,0.0066
2023-07-05,0.00753
2023-07-06,0.00847
2023-07-07,0.0094
2023-07-08,0.01033
2023-07-09,0.01127
2023-07-10,0.0122
2023-07-11,0.01313
2023-07-12,0.01407
2023-07-13,0.015
2023-07-14,0.01593
2023-07-15,0.01687
2023-07-16,0.0178
2023-07-17,0.01873
