,Date,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L)
211,2020-07-30,7.1,184,60,152,28.4,98.0
212,2020-07-31,7.1,184,60,152,28.4,98.0
213,2020-08-01,7.2,268,88,176,20.0,578.0
214,2020-08-02,7.2,268,88,176,20.0,578.0
215,2020-08-03,7.2,268,88,176,20.0,578.0
216,2020-08-04,7.2,268,88,176,20.0,578.0
217,2020-08-05,7.2,268,88,176,20.0,578.0
218,2020-08-06,7.2,268,88,176,20.0,578.0
219,2020-08-07,7.2,268,88,176,20.0,578.0
220,2020-08-08,7.2,268,88,176,20.0,578.0
221,2020-08-09,7.2,268,88,176,20.0,578.0
222,2020-08-10,7.2,268,88,176,20.0,578.0
223,2020-08-11,7.2,268,88,176,20.0,578.0
224,2020-08-12,7.2,268,88,176,20.0,578.0
225,2020-08-13,7.2,268,88,176,20.0,578.0
226,2020-08-14,7.2,268,88,176,20.0,578.0
227,2020-08-15,7.2,268,88,176,20.0,578.0
228,2020-08-16,7.2,268,88,176,20.0,578.0
229,2020-08-17,7.2,268,88,176,20.0,578.0
230,2020-08-18,7.2,268,88,176,20.0,578.0
231,2020-08-19,7.2,268,88,176,20.0,578.0
232,2020-08-20,7.2,268,88,176,20.0,578.0
233,2020-08-21,7.2,268,88,176,20.0,578.0
234,2020-08-22,7.2,268,88,176,20.0,578.0
235,2020-08-23,7.2,268,88,176,20.0,578.0
236,2020-08-24,7.2,268,88,176,20.0,578.0
237,2020-08-25,7.2,268,88,176,20.0,578.0
238,2020-08-26,7.2,268,88,176,20.0,578.0
239,2020-08-27,7.2,268,88,176,20.0,578.0
240,2020-08-28,7.2,268,88,176,20.0,578.0
241,2020-08-29,7.2,268,88,176,20.0,578.0
242,2020-08-30,7.2,268,88,176,20.0,578.0
243,2020-08-31,7.2,268,88,176,20.0,578.0
244,2020-09-01,7.3,872,292,780,12.8,83.3
245,2020-09-02,7.3,872,292,780,12.8,83.3
246,2020-09-03,7.3,872,292,780,12.8,83.3
247,2020-09-04,7.3,872,292,780,12.8,83.3
248,2020-09-05,7.3,872,292,780,12.8,83.3
249,2020-09-06,7.3,872,292,780,12.8,83.3
250,2020-09-07,7.3,872,292,780,12.8,83.3
